date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
27/07/2012;15;48;14;23;21;2;10;-14-15-21-23-48-;-2-10-
24/07/2012;18;25;4;16;44;11;1;-4-16-18-25-44-;-1-11-
20/07/2012;19;23;10;45;49;9;10;-10-19-23-45-49-;-9-10-
17/07/2012;24;2;43;7;46;10;8;-2-7-24-43-46-;-8-10-
13/07/2012;18;46;35;25;8;9;4;-8-18-25-35-46-;-4-9-
10/07/2012;37;1;24;16;3;8;1;-1-3-16-24-37-;-1-8-
06/07/2012;40;42;38;31;32;3;1;-31-32-38-40-42-;-1-3-
03/07/2012;22;7;2;40;27;6;3;-2-7-22-27-40-;-3-6-
29/06/2012;14;17;28;39;29;11;1;-14-17-28-29-39-;-1-11-
26/06/2012;11;22;35;20;1;10;8;-1-11-20-22-35-;-8-10-
22/06/2012;18;14;19;43;49;7;3;-14-18-19-43-49-;-3-7-
19/06/2012;17;20;50;7;35;5;11;-7-17-20-35-50-;-5-11-
15/06/2012;48;38;27;22;10;3;7;-10-22-27-38-48-;-3-7-
12/06/2012;30;26;48;15;8;9;10;-8-15-26-30-48-;-9-10-
08/06/2012;11;22;5;34;40;9;11;-5-11-22-34-40-;-9-11-
05/06/2012;13;49;37;47;34;8;9;-13-34-37-47-49-;-8-9-
01/06/2012;26;2;36;14;4;9;10;-2-4-14-26-36-;-9-10-
29/05/2012;28;17;25;15;8;3;11;-8-15-17-25-28-;-3-11-
25/05/2012;35;12;22;49;46;2;8;-12-22-35-46-49-;-2-8-
22/05/2012;31;32;41;16;37;7;1;-16-31-32-37-41-;-1-7-
18/05/2012;29;50;43;47;13;9;11;-13-29-43-47-50-;-9-11-
15/05/2012;13;2;50;11;26;5;2;-2-11-13-26-50-;-2-5-
11/05/2012;1;17;13;44;38;2;11;-1-13-17-38-44-;-2-11-
08/05/2012;3;34;48;38;21;5;8;-3-21-34-38-48-;-5-8-
04/05/2012;26;41;40;39;3;1;2;-3-26-39-40-41-;-1-2-
01/05/2012;4;15;41;5;19;11;9;-4-5-15-19-41-;-9-11-
27/04/2012;36;43;30;27;20;1;6;-20-27-30-36-43-;-1-6-
24/04/2012;8;24;48;43;9;3;5;-8-9-24-43-48-;-3-5-
20/04/2012;32;41;29;3;6;11;10;-3-6-29-32-41-;-10-11-
17/04/2012;10;28;49;48;33;10;1;-10-28-33-48-49-;-1-10-
13/04/2012;8;39;43;13;26;3;5;-8-13-26-39-43-;-3-5-
