date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
03/10/2008;4;38;13;19;23;2;3;-4-13-19-23-38-;-2-3-
26/09/2008;31;29;33;14;37;2;1;-14-29-31-33-37-;-1-2-
19/09/2008;14;16;19;31;20;9;6;-14-16-19-20-31-;-6-9-
12/09/2008;23;33;37;19;50;7;3;-19-23-33-37-50-;-3-7-
05/09/2008;17;12;39;16;7;3;8;-7-12-16-17-39-;-3-8-
29/08/2008;2;20;37;25;39;8;5;-2-20-25-37-39-;-5-8-
22/08/2008;50;27;29;39;7;7;5;-7-27-29-39-50-;-5-7-
15/08/2008;18;11;17;26;31;6;5;-11-17-18-26-31-;-5-6-
08/08/2008;15;5;16;45;4;7;4;-4-5-15-16-45-;-4-7-
01/08/2008;25;40;22;50;1;1;8;-1-22-25-40-50-;-1-8-
25/07/2008;29;7;15;24;11;7;2;-7-11-15-24-29-;-2-7-
18/07/2008;16;14;44;10;29;6;5;-10-14-16-29-44-;-5-6-
11/07/2008;37;19;11;13;9;3;4;-9-11-13-19-37-;-3-4-
04/07/2008;19;22;48;7;27;7;5;-7-19-22-27-48-;-5-7-
27/06/2008;20;44;5;50;26;5;7;-5-20-26-44-50-;-5-7-
20/06/2008;11;8;36;37;45;3;5;-8-11-36-37-45-;-3-5-
13/06/2008;16;37;44;50;13;9;1;-13-16-37-44-50-;-1-9-
06/06/2008;21;40;19;50;7;2;9;-7-19-21-40-50-;-2-9-
30/05/2008;14;20;49;7;5;8;2;-5-7-14-20-49-;-2-8-
23/05/2008;5;38;9;19;21;1;7;-5-9-19-21-38-;-1-7-
16/05/2008;6;38;9;25;15;4;9;-6-9-15-25-38-;-4-9-
09/05/2008;8;9;42;40;45;7;6;-8-9-40-42-45-;-6-7-
02/05/2008;26;48;45;37;2;8;4;-2-26-37-45-48-;-4-8-
25/04/2008;4;30;26;19;27;8;3;-4-19-26-27-30-;-3-8-
